Item type,Dataset Size,Dataset Shape,Dataset Type,Item name/path
Group,N/A,N/A,N/A,AwakeEventData
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01/Acq
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma
Dataset,2048,(2048,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TCC4.AWAKECAM02
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma
Dataset,1280,(1280,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection
Dataset,1228800,(960, 1280),int16,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma
Dataset,960,(960,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TSG40.CAM7
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma
Dataset,1920,(1920,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection
Dataset,2304000,(1200, 1920),int16,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.03TT41.CAM3
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma
Dataset,1920,(1920,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection
Dataset,2304000,(1200, 1920),int16,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TCC4.AWAKECAM04
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma
Dataset,1600,(1600,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection
Dataset,1920000,(1200, 1600),int16,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TT41.CAM4
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma
Dataset,1920,(1920,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection
Dataset,2304000,(1200, 1920),int16,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.05TT41.CAM5
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma
Dataset,1920,(1920,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection
Dataset,2304000,(1200, 1920),int16,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.06TCC4.AWAKECAM06
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg
